id,typ,upplåtelseform,pris,avgift,rum,boyta,kvadratmeterpris,område,stad,adress,lat,lon,tillgänglig,created_at,valuta,boyta_enhet,pris_per_kvm
43,lägenhet,köpa,5457359,7546,5,120,45477,Majorna,Göteborg,Lindvägen 34,57.69726,11.93825,True,2025-12-16,SEK,m²,45478.0
44,hus,köpa,13012978,1505,4,108,120490,Östermalm,Stockholm,Skolvägen 44,59.3342,18.07438,True,2026-03-28,SEK,m²,120491.0
45,lägenhet,köpa,16013034,8186,5,125,128104,Bromma,Stockholm,Bergsgatan 13,59.3316,17.9338,False,2025-08-31,SEK,m²,128104.0
46,hus,köpa,7493782,4443,5,95,78881,Farsta,Stockholm,Hornsgatan 84,59.24193,18.09207,True,2025-09-13,SEK,m²,78882.0
47,lägenhet,hyra,8442,0,2,56,0,Hisingen,Göteborg,Björkgatan 30,57.72986,11.90906,True,2025-05-16,SEK,m²,151.0
48,lägenhet,köpa,21282713,9555,6,162,131374,Lidingö,Stockholm,Parkvägen 24,59.37392,18.15641,True,2025-09-22,SEK,m²,131375.0
49,lägenhet,hyra,11571,0,4,96,0,Linnéstaden,Göteborg,Kungsgatan 9,57.70613,11.94926,True,2025-11-05,SEK,m²,121.0
50,hus,köpa,3410008,2577,2,52,65577,Centrum,Göteborg,Kungsgatan 51,57.70389,11.9755,True,2025-09-15,SEK,m²,65577.0
51,hus,köpa,11110227,4043,6,132,84168,Hägersten,Stockholm,Parkvägen 66,59.30772,18.00442,False,2025-06-22,SEK,m²,84168.0
52,lägenhet,hyra,14564,0,4,104,0,Spånga,Stockholm,Lindvägen 89,59.37882,17.90401,True,2025-05-30,SEK,m²,140.0
53,lägenhet,köpa,1207478,1551,1,26,46441,Limhamn,Malmö,Sveavägen 25,55.59466,12.93502,True,2025-12-08,SEK,m²,46441.0
54,hus,köpa,15878757,4428,6,120,132322,Södermalm,Stockholm,Kungsgatan 74,59.30834,18.07161,True,2025-04-28,SEK,m²,132323.0
55,lägenhet,hyra,12902,0,5,100,0,Limhamn,Malmö,Hornsgatan 37,55.58158,12.93187,True,2026-03-24,SEK,m²,129.0
56,hus,hyra,8536,0,2,52,0,Majorna,Göteborg,Sveavägen 112,57.7084,11.92741,False,2025-04-18,SEK,m²,164.0
57,lägenhet,köpa,3581633,6079,3,81,44217,Västra Hamnen,Malmö,Hornsgatan 85,55.62257,12.97462,True,2026-03-20,SEK,m²,44218.0
58,lägenhet,hyra,13989,0,6,108,0,Hyllie,Malmö,Kyrkogatan 23,55.56111,12.97231,True,2025-05-07,SEK,m²,130.0
59,hus,köpa,17256624,2009,5,135,127826,Södermalm,Stockholm,Lindvägen 54,59.32192,18.06496,True,2025-08-17,SEK,m²,127827.0
60,hus,köpa,12675601,3281,5,105,120720,Södermalm,Stockholm,Kungsgatan 111,59.31833,18.06716,True,2026-02-26,SEK,m²,120720.0
61,hus,köpa,5629921,3965,6,144,39096,Västra Hamnen,Malmö,Lindvägen 37,55.62286,12.97777,True,2025-08-08,SEK,m²,39097.0
62,lägenhet,köpa,16225315,8540,6,126,128772,Hägersten,Stockholm,Sveavägen 63,59.30268,18.00997,False,2025-11-11,SEK,m²,128772.0
63,lägenhet,köpa,5464461,2235,2,44,124192,Spånga,Stockholm,Bergsgatan 25,59.38763,17.89566,True,2025-07-18,SEK,m²,124192.0
64,lägenhet,hyra,4005,0,1,26,0,Hyllie,Malmö,Strandvägen 98,55.55821,12.97818,True,2025-04-10,SEK,m²,154.0
65,lägenhet,köpa,7565507,3463,4,76,99546,Vasastan,Stockholm,Drottninggatan 14,59.34028,18.03989,False,2026-03-13,SEK,m²,99546.0
66,hus,köpa,1543176,3025,1,23,67094,Linnéstaden,Göteborg,Kungsgatan 71,57.6908,11.94847,False,2026-01-15,SEK,m²,67095.0
67,lägenhet,hyra,4486,0,1,28,0,Hyllie,Malmö,Kyrkogatan 3,55.56473,12.96707,True,2025-12-12,SEK,m²,160.0
68,lägenhet,hyra,11732,0,3,84,0,Västra Hamnen,Malmö,Parkvägen 61,55.61117,12.97631,False,2026-01-28,SEK,m²,140.0
69,hus,köpa,4530110,2002,3,54,83890,Spånga,Stockholm,Lindvägen 85,59.39216,17.90706,True,2026-01-07,SEK,m²,83891.0
70,hus,köpa,5541950,3929,4,80,69274,Centrum,Göteborg,Lindvägen 22,57.71706,11.98203,True,2025-07-09,SEK,m²,69274.0
71,lägenhet,köpa,5933039,8006,6,114,52044,Västra Hamnen,Malmö,Lindvägen 62,55.61882,12.97935,False,2025-08-24,SEK,m²,52044.0
72,hus,köpa,4122858,4387,3,81,50899,Hyllie,Malmö,Parkvägen 93,55.55971,12.98393,False,2025-04-20,SEK,m²,50899.0
73,lägenhet,köpa,3498474,1767,2,38,92065,Bromma,Stockholm,Kyrkogatan 101,59.34386,17.93847,False,2025-06-10,SEK,m²,92065.0
74,lägenhet,köpa,7931576,7590,4,100,79315,Sundbyberg,Stockholm,Drottninggatan 53,59.35662,17.97851,True,2026-01-14,SEK,m²,79316.0
75,hus,köpa,998947,1514,1,21,47568,Linnéstaden,Göteborg,Drottninggatan 26,57.68723,11.94571,True,2026-04-04,SEK,m²,47569.0
76,lägenhet,köpa,2306527,2865,2,48,48052,Västra Hamnen,Malmö,Drottninggatan 31,55.60842,12.96698,True,2025-10-07,SEK,m²,48053.0
77,lägenhet,köpa,16461124,7930,5,125,131688,Bromma,Stockholm,Hornsgatan 6,59.33588,17.94196,False,2025-04-19,SEK,m²,131689.0
78,lägenhet,hyra,3909,0,1,28,0,Linnéstaden,Göteborg,Lindvägen 93,57.68854,11.94302,False,2025-08-25,SEK,m²,140.0
79,hus,köpa,4900859,4290,4,96,51050,Västra Hamnen,Malmö,Lindvägen 54,55.61245,12.9848,False,2025-12-31,SEK,m²,51051.0
80,hus,köpa,6711344,3153,4,80,83891,Vasastan,Stockholm,Kyrkogatan 89,59.3447,18.05149,True,2025-06-03,SEK,m²,83892.0
81,hus,köpa,5257459,2167,5,130,40441,Limhamn,Malmö,Hornsgatan 31,55.57928,12.92882,True,2026-02-11,SEK,m²,40442.0
82,hus,köpa,2675282,2366,4,84,31848,Rosengård,Malmö,Bergsgatan 57,55.58784,13.02667,True,2026-01-02,SEK,m²,31849.0
83,lägenhet,köpa,2360900,3404,2,46,51323,Majorna,Göteborg,Kungsgatan 8,57.70542,11.93856,False,2025-09-13,SEK,m²,51324.0
84,lägenhet,köpa,2554380,1280,1,20,127719,Kungsholmen,Stockholm,Kungsgatan 2,59.33489,18.03635,True,2025-04-13,SEK,m²,127719.0
85,lägenhet,hyra,14545,0,5,120,0,Hisingen,Göteborg,Hornsgatan 36,57.73154,11.89036,False,2025-11-20,SEK,m²,121.0
86,hus,hyra,5934,0,2,42,0,Hisingen,Göteborg,Parkvägen 74,57.72948,11.89293,False,2025-10-09,SEK,m²,141.0
87,lägenhet,köpa,5740934,4831,3,84,68344,Majorna,Göteborg,Strandvägen 25,57.70744,11.9309,True,2026-04-05,SEK,m²,68344.0
88,lägenhet,köpa,15745305,7281,5,120,131210,Farsta,Stockholm,Björkgatan 79,59.24529,18.08989,True,2025-12-05,SEK,m²,131211.0
89,hus,köpa,19941831,1713,6,156,127832,Spånga,Stockholm,Parkvägen 92,59.38807,17.89455,False,2025-05-02,SEK,m²,127832.0
90,hus,köpa,3579802,2783,5,100,35798,Limhamn,Malmö,Bergsgatan 96,55.58789,12.93178,True,2025-09-17,SEK,m²,35798.0
91,lägenhet,hyra,2332,0,1,19,0,Hyllie,Malmö,Strandvägen 60,55.55815,12.98292,True,2025-05-16,SEK,m²,123.0
92,lägenhet,köpa,11471140,7112,5,95,120748,Sundbyberg,Stockholm,Hornsgatan 76,59.35662,17.97648,True,2026-02-27,SEK,m²,120749.0
93,hus,hyra,25028,0,6,156,0,Limhamn,Malmö,Lindvägen 16,55.58666,12.9265,False,2026-02-07,SEK,m²,160.0
94,hus,köpa,889647,3421,1,28,31773,Limhamn,Malmö,Drottninggatan 115,55.58051,12.93325,True,2025-08-31,SEK,m²,31773.0
95,lägenhet,köpa,7205323,9002,6,132,54585,Hisingen,Göteborg,Parkvägen 112,57.7313,11.90147,True,2025-08-21,SEK,m²,54586.0
96,hus,köpa,4665549,1708,4,112,41656,Limhamn,Malmö,Kyrkogatan 59,55.57911,12.93322,False,2025-09-13,SEK,m²,41657.0
97,hus,köpa,4916735,2032,5,105,46826,Centrum,Göteborg,Drottninggatan 8,57.71522,11.97166,True,2025-05-09,SEK,m²,46826.0
98,lägenhet,hyra,17812,0,5,120,0,Hyllie,Malmö,Kyrkogatan 37,55.56552,12.96659,False,2025-09-27,SEK,m²,148.0
99,hus,köpa,2181484,2666,2,52,41951,Västra Hamnen,Malmö,Storgatan 70,55.60334,12.96727,True,2025-09-17,SEK,m²,41952.0
100,hus,köpa,2146400,2310,1,18,119244,Östermalm,Stockholm,Kungsgatan 38,59.3461,18.07188,False,2025-08-10,SEK,m²,119244.0
101,hus,köpa,8458310,2321,5,115,73550,Linnéstaden,Göteborg,Lindvägen 10,57.69994,11.95615,True,2025-04-09,SEK,m²,73551.0
102,hus,köpa,896517,4292,1,26,34481,Limhamn,Malmö,Sveavägen 82,55.58851,12.92678,True,2025-11-07,SEK,m²,34481.0
103,hus,köpa,8116737,2626,6,162,50103,Hyllie,Malmö,Kyrkogatan 104,55.55489,12.9799,False,2026-04-05,SEK,m²,50103.0
104,hus,köpa,11136853,1911,5,135,82495,Södermalm,Stockholm,Sveavägen 16,59.31979,18.06378,True,2025-09-09,SEK,m²,82495.0
105,hus,köpa,2088061,4312,1,21,99431,Södermalm,Stockholm,Storgatan 55,59.32318,18.0629,True,2025-09-20,SEK,m²,99431.0
106,lägenhet,köpa,5657790,2152,2,48,117870,Nacka,Stockholm,Kyrkogatan 35,59.30296,18.16563,False,2025-06-07,SEK,m²,117871.0
107,lägenhet,köpa,3018227,3571,2,52,58042,Linnéstaden,Göteborg,Lindvägen 95,57.68929,11.95606,False,2025-07-28,SEK,m²,58043.0
108,lägenhet,köpa,4214335,7313,5,105,40136,Hyllie,Malmö,Björkgatan 114,55.55813,12.96699,False,2025-10-05,SEK,m²,40137.0
109,lägenhet,köpa,3435655,8155,5,110,31233,Västra Hamnen,Malmö,Kungsgatan 87,55.61742,12.9811,False,2025-04-14,SEK,m²,31233.0
110,hus,köpa,1704015,3701,1,22,77455,Vasastan,Stockholm,Sveavägen 64,59.33514,18.04456,True,2025-05-19,SEK,m²,77455.0
111,hus,köpa,4102787,4037,4,100,41027,Rosengård,Malmö,Strandvägen 43,55.58378,13.02239,False,2025-05-09,SEK,m²,41028.0
112,lägenhet,köpa,13789033,6294,6,132,104462,Farsta,Stockholm,Hornsgatan 28,59.24923,18.09022,False,2025-10-31,SEK,m²,104462.0
113,hus,köpa,892107,3012,1,20,44605,Majorna,Göteborg,Kyrkogatan 85,57.69807,11.93341,True,2025-11-08,SEK,m²,44605.0
114,hus,köpa,15111597,3850,5,130,116243,Södermalm,Stockholm,Kungsgatan 120,59.31099,18.07614,True,2025-05-04,SEK,m²,116243.0
115,lägenhet,hyra,3135,0,1,18,0,Hyllie,Malmö,Skolvägen 110,55.57064,12.96906,False,2026-03-14,SEK,m²,174.0
116,hus,köpa,2562012,4455,3,75,34160,Rosengård,Malmö,Lindvägen 79,55.58925,13.02979,True,2025-06-18,SEK,m²,34160.0
117,hus,köpa,3475870,3604,2,38,91470,Farsta,Stockholm,Storgatan 44,59.23523,18.101,True,2025-11-09,SEK,m²,91470.0
118,hus,köpa,3962648,2454,5,90,44029,Hyllie,Malmö,Parkvägen 10,55.56392,12.97777,True,2025-07-21,SEK,m²,44029.0
119,lägenhet,hyra,3457,0,1,20,0,Spånga,Stockholm,Strandvägen 71,59.39019,17.90806,True,2025-08-23,SEK,m²,173.0
120,lägenhet,köpa,5862038,3371,3,54,108556,Södermalm,Stockholm,Bergsgatan 5,59.31734,18.06388,False,2025-07-11,SEK,m²,108556.0
121,hus,köpa,4139297,3828,3,69,59989,Centrum,Göteborg,Skolvägen 101,57.70372,11.97041,True,2025-07-14,SEK,m²,59990.0
122,lägenhet,hyra,9102,0,3,54,0,Södermalm,Stockholm,Storgatan 102,59.31447,18.06847,True,2026-01-11,SEK,m²,169.0
123,hus,köpa,3172546,4289,3,57,55658,Centrum,Göteborg,Kungsgatan 118,57.70637,11.96897,True,2025-05-05,SEK,m²,55659.0
124,hus,köpa,3020183,3348,3,66,45760,Centrum,Göteborg,Drottninggatan 16,57.7183,11.98139,True,2025-10-08,SEK,m²,45760.0
125,lägenhet,hyra,19296,0,6,120,0,Farsta,Stockholm,Parkvägen 48,59.25026,18.09813,False,2025-10-22,SEK,m²,161.0
126,hus,köpa,3936084,3947,3,81,48593,Västra Hamnen,Malmö,Skolvägen 19,55.61893,12.97576,False,2025-12-15,SEK,m²,48594.0
127,hus,köpa,2431965,1726,4,72,33777,Limhamn,Malmö,Björkgatan 16,55.5869,12.93021,True,2025-07-25,SEK,m²,33777.0
128,hus,köpa,5177006,4253,4,108,47935,Rosengård,Malmö,Björkgatan 14,55.59704,13.02698,True,2025-08-17,SEK,m²,47935.0
129,lägenhet,köpa,12202086,9970,6,168,72631,Linnéstaden,Göteborg,Strandvägen 111,57.69251,11.94772,True,2025-06-27,SEK,m²,72631.0
130,hus,köpa,4460296,4414,5,90,49558,Rosengård,Malmö,Sveavägen 33,55.58303,13.03968,True,2025-12-16,SEK,m²,49559.0
131,hus,köpa,9662416,2055,3,75,128832,Södermalm,Stockholm,Strandvägen 89,59.32223,18.0759,True,2026-02-11,SEK,m²,128832.0
132,lägenhet,köpa,10458912,6107,5,140,74706,Hisingen,Göteborg,Skolvägen 103,57.72178,11.89308,False,2025-12-22,SEK,m²,74707.0
133,hus,hyra,7391,0,2,52,0,Farsta,Stockholm,Drottninggatan 52,59.2342,18.1025,False,2025-04-09,SEK,m²,142.0
134,lägenhet,köpa,16223659,9555,6,156,103997,Bromma,Stockholm,Hornsgatan 4,59.33239,17.94087,True,2026-01-21,SEK,m²,103998.0
135,hus,hyra,11050,0,4,80,0,Centrum,Göteborg,Lindvägen 100,57.71105,11.96919,False,2025-04-18,SEK,m²,138.0
136,hus,köpa,9613754,3912,4,92,104497,Nacka,Stockholm,Drottninggatan 13,59.3126,18.1719,True,2025-11-14,SEK,m²,104497.0
137,hus,köpa,2284093,3547,2,44,51911,Majorna,Göteborg,Lindvägen 100,57.69198,11.93928,True,2026-02-27,SEK,m²,51911.0
138,hus,köpa,4104952,2750,3,84,48868,Hyllie,Malmö,Parkvägen 30,55.56861,12.97755,True,2025-07-25,SEK,m²,48868.0
139,hus,köpa,4787965,4391,5,105,45599,Hisingen,Göteborg,Kyrkogatan 45,57.72749,11.90054,True,2025-08-04,SEK,m²,45600.0
140,hus,köpa,11003272,3924,5,115,95680,Sundbyberg,Stockholm,Parkvägen 83,59.36689,17.97082,True,2026-03-23,SEK,m²,95681.0
141,lägenhet,hyra,17535,0,5,135,0,Rosengård,Malmö,Sveavägen 86,55.59576,13.03504,True,2026-01-24,SEK,m²,130.0
142,lägenhet,köpa,7463542,7970,6,144,51830,Hyllie,Malmö,Björkgatan 94,55.55362,12.97225,True,2025-08-20,SEK,m²,51830.0
143,hus,köpa,4624118,3530,6,114,40562,Hyllie,Malmö,Strandvägen 78,55.56561,12.98478,True,2025-10-16,SEK,m²,40562.0
144,hus,köpa,3690509,3309,4,72,51257,Västra Hamnen,Malmö,Strandvägen 8,55.60787,12.97019,False,2025-12-24,SEK,m²,51257.0
145,lägenhet,köpa,2277968,2861,2,46,49521,Hyllie,Malmö,Hornsgatan 75,55.55996,12.98029,True,2026-03-11,SEK,m²,49521.0
146,hus,köpa,3513628,3780,1,27,130134,Östermalm,Stockholm,Sveavägen 29,59.34507,18.08807,False,2026-01-22,SEK,m²,130134.0
147,lägenhet,hyra,5840,0,2,42,0,Västra Hamnen,Malmö,Kyrkogatan 105,55.61305,12.97281,True,2025-05-28,SEK,m²,139.0
148,hus,köpa,4097961,4181,4,88,46567,Hyllie,Malmö,Storgatan 71,55.55573,12.97815,True,2026-01-23,SEK,m²,46568.0
149,hus,köpa,3421880,4300,2,54,63368,Hisingen,Göteborg,Bergsgatan 76,57.73761,11.89456,False,2025-09-04,SEK,m²,63368.0
150,hus,köpa,3547765,2775,5,90,39419,Hyllie,Malmö,Storgatan 23,55.56436,12.97386,True,2025-06-03,SEK,m²,39420.0
151,hus,köpa,4848645,1781,3,54,89789,Södermalm,Stockholm,Skolvägen 29,59.31968,18.06461,True,2025-07-22,SEK,m²,89790.0
152,lägenhet,köpa,5228014,5075,5,100,52280,Limhamn,Malmö,Bergsgatan 17,55.57972,12.93972,True,2025-12-30,SEK,m²,52280.0
153,hus,köpa,8662323,2173,3,66,131247,Farsta,Stockholm,Kungsgatan 22,59.25142,18.0975,True,2025-04-17,SEK,m²,131247.0
154,lägenhet,köpa,4254909,8563,6,114,37323,Västra Hamnen,Malmö,Kyrkogatan 58,55.61826,12.97569,True,2025-10-12,SEK,m²,37324.0
155,lägenhet,hyra,25732,0,6,162,0,Linnéstaden,Göteborg,Bergsgatan 41,57.68943,11.95034,False,2025-07-04,SEK,m²,159.0
156,hus,köpa,2676444,4104,2,38,70432,Centrum,Göteborg,Parkvägen 93,57.71681,11.96561,False,2025-06-21,SEK,m²,70433.0
157,hus,köpa,5004439,2565,6,126,39717,Limhamn,Malmö,Kungsgatan 69,55.59152,12.92218,False,2026-03-11,SEK,m²,39718.0
158,hus,köpa,8023254,3006,6,132,60782,Centrum,Göteborg,Kyrkogatan 2,57.71524,11.98215,True,2025-09-23,SEK,m²,60782.0
159,lägenhet,köpa,3928324,6854,4,92,42699,Västra Hamnen,Malmö,Parkvägen 1,55.61089,12.98209,True,2025-08-14,SEK,m²,42699.0
160,lägenhet,köpa,4615542,3811,4,88,52449,Majorna,Göteborg,Kyrkogatan 18,57.69966,11.93463,True,2025-11-30,SEK,m²,52449.0
161,hus,köpa,2827399,2341,3,75,37698,Västra Hamnen,Malmö,Drottninggatan 39,55.62173,12.97184,True,2025-10-01,SEK,m²,37699.0
162,hus,köpa,4619521,3926,4,100,46195,Hyllie,Malmö,Björkgatan 21,55.57087,12.96866,True,2025-10-30,SEK,m²,46195.0
163,hus,köpa,9876432,2629,6,138,71568,Majorna,Göteborg,Storgatan 101,57.70463,11.94265,True,2025-12-23,SEK,m²,71568.0
164,lägenhet,köpa,6645714,3004,2,56,118673,Lidingö,Stockholm,Strandvägen 46,59.36247,18.14781,False,2025-11-17,SEK,m²,118673.0
165,lägenhet,hyra,10386,0,4,84,0,Hisingen,Göteborg,Drottninggatan 96,57.7234,11.89281,True,2025-05-08,SEK,m²,124.0
166,lägenhet,hyra,2282,0,1,19,0,Nacka,Stockholm,Strandvägen 5,59.31262,18.15451,True,2025-10-02,SEK,m²,120.0
167,lägenhet,köpa,4774989,4988,4,108,44212,Västra Hamnen,Malmö,Kungsgatan 29,55.62169,12.97101,False,2025-10-14,SEK,m²,44213.0
168,lägenhet,hyra,2775,0,1,19,0,Hägersten,Stockholm,Drottninggatan 4,59.30138,17.99427,True,2025-08-23,SEK,m²,146.0
169,hus,köpa,5544587,3629,6,162,34225,Rosengård,Malmö,Drottninggatan 16,55.5962,13.02882,False,2025-04-20,SEK,m²,34226.0
170,lägenhet,köpa,1431067,1287,1,18,79503,Nacka,Stockholm,Kyrkogatan 106,59.32088,18.1675,True,2025-12-18,SEK,m²,79504.0
171,lägenhet,hyra,2756,0,1,21,0,Bromma,Stockholm,Strandvägen 79,59.32789,17.94618,True,2025-08-22,SEK,m²,131.0
172,hus,köpa,4102312,2250,5,130,31556,Rosengård,Malmö,Björkgatan 12,55.59189,13.02534,True,2025-07-18,SEK,m²,31556.0
173,lägenhet,köpa,3653518,4649,3,75,48713,Hyllie,Malmö,Sveavägen 106,55.55338,12.97787,True,2026-02-10,SEK,m²,48714.0
174,lägenhet,hyra,12104,0,3,69,0,Hisingen,Göteborg,Hornsgatan 96,57.73114,11.90737,True,2025-07-28,SEK,m²,175.0
175,hus,köpa,3017171,2180,3,63,47891,Västra Hamnen,Malmö,Skolvägen 42,55.60409,12.97662,True,2025-12-27,SEK,m²,47892.0
176,hus,köpa,8330709,4441,6,162,51424,Västra Hamnen,Malmö,Björkgatan 96,55.61564,12.97243,False,2025-07-05,SEK,m²,51424.0
177,hus,köpa,3034245,2898,2,44,68960,Majorna,Göteborg,Sveavägen 4,57.70457,11.92509,True,2026-03-22,SEK,m²,68960.0
178,hus,köpa,4189940,1978,2,40,104748,Spånga,Stockholm,Hornsgatan 101,59.38625,17.91078,True,2026-03-26,SEK,m²,104748.0
179,lägenhet,köpa,1702074,2598,2,40,42551,Rosengård,Malmö,Björkgatan 69,55.59632,13.04126,True,2026-03-31,SEK,m²,42552.0
180,lägenhet,köpa,10248820,12501,6,162,63264,Linnéstaden,Göteborg,Skolvägen 52,57.69951,11.95512,True,2025-07-15,SEK,m²,63264.0
181,lägenhet,köpa,6010699,6477,6,138,43555,Limhamn,Malmö,Sveavägen 115,55.58035,12.9309,True,2025-04-11,SEK,m²,43556.0
182,hus,köpa,1167460,3137,1,24,48644,Västra Hamnen,Malmö,Storgatan 85,55.61909,12.98368,False,2025-05-11,SEK,m²,48644.0
